,ETOT,ELST,key,ele,vdw,chm,SE,MSE
0,240.694451929946,-62.37312093601211,1.xyz,-38.29923,10972.7256,10910.352479063988,113841602.41598587,4753799.375560812
1,82.674903266612,-61.08000749457601,2.xyz,-21.48229,641.88412,580.8041125054241,248132.70909688427,4753799.375560812
2,24.671677517679203,-36.211837954497206,3.xyz,-13.24606,98.68828,62.4764420455028,1429.200221004189,4753799.375560812
3,3.502115703602601,-20.2478493890044,4.xyz,-8.72947,21.50824,1.2603906109956,5.025331390823867,4753799.375560812
4,-3.2501472579283406,-11.790530306049702,5.xyz,-6.04807,5.0484,-6.7421303060497015,12.19394560836695,4753799.375560812
5,-4.68040072073581,-7.3684479534712,6.xyz,-4.35804,0.95771,-6.410737953471201,2.994066938990369,4753799.375560812
6,-4.37227373092577,-4.952358318400281,7.xyz,-3.24139,-0.07683,-5.029188318400281,0.4315367752368061,4753799.375560812
7,-3.6208346339554303,-3.53186360027294,8.xyz,-2.47478,-0.29122,-3.8230836002729403,0.04090464437650129,4753799.375560812
8,-2.87637378449707,-2.6353491982188,9.xyz,-1.93145,-0.28684,-2.9221891982188,0.0020990521344932786,4753799.375560812
9,-2.2640404059708104,-2.03374959735916,10.xyz,-1.53588,-0.23389,-2.2676395973591603,1.2954178649972548e-05,4753799.375560812
10,-1.7907577954509202,-1.6088998081645003,11.xyz,-1.24117,-0.17968,-1.7885798081645004,4.743628619806391e-06,4753799.375560812
11,-1.43181951576954,-1.2972809084851502,12.xyz,-1.01719,-0.13534,-1.4326209084851502,6.422302846332593e-07,4753799.375560812
12,-1.15985988499535,-1.06243559524908,13.xyz,-0.84395,-0.10156,-1.1639955952490801,1.7104099302807887e-05,4753799.375560812
13,-0.95210784208824,-0.8816587705315401,14.xyz,-0.7079,-0.07648,-0.9581387705315401,3.6372097888206286e-05,4753799.375560812
14,-0.7913371433170601,-0.73997040034018,15.xyz,-0.59957,-0.05799,-0.79796040034018,4.386753359430766e-05,4753799.375560812
15,-0.6650816885832099,-0.6271619659245661,16.xyz,-0.51226,-0.04434,-0.6715019659245661,4.1219961139931776e-05,4753799.375560812
16,-0.5644917823700911,-0.536122710591711,17.xyz,-0.4411,-0.03421,-0.570332710591711,3.41164424901153e-05,4753799.375560812
17,-0.483298488359336,-0.4617992121219431,18.xyz,-0.38254,-0.02663,-0.48842921212194307,2.6324326328181078e-05,4753799.375560812
18,-0.417012598633699,-0.400521935254251,19.xyz,-0.3339,-0.02092,-0.421441935254251,1.9619022898163054e-05,4753799.375560812
19,-0.362357554823434,-0.349565375300896,20.xyz,-0.29318,-0.01657,-0.366135375300896,1.4271927559931227e-05,4753799.375560812
20,-0.316891194317919,-0.306862709943203,21.xyz,-0.25882,-0.01323,-0.32009270994320305,1.0249702298937826e-05,4753799.375560812
21,-0.278760459342956,-0.270820691494088,22.xyz,-0.22962,-0.01065,-0.281470691494088,7.345358313029452e-06,4753799.375560812
22,-0.175412881383312,-0.172017195334034,23.xyz,-0.14849,-0.00478,-0.176797195334034,1.91632511416355e-06,4753799.375560812
23,-0.117539200240213,-0.115920455851233,24.xyz,-0.10151,-0.00236,-0.11828045585123301,5.494598808686463e-07,4753799.375560812
